iter	Passed	Remaining
0	1	181
1	2	179
2	3	182
3	5	186
4	6	188
5	8	207
6	10	222
7	12	216
8	14	222
9	17	239
10	23	291
11	25	289
12	26	281
13	27	271
14	29	263
15	30	257
16	31	249
17	33	244
18	35	241
19	39	255
20	41	255
21	44	258
22	47	262
23	54	287
24	56	280
25	57	274
26	58	268
27	60	262
28	66	276
29	67	270
30	69	265
31	70	259
32	71	254
33	73	249
34	74	244
35	75	239
36	77	237
37	79	233
38	80	229
39	81	225
40	83	221
41	84	217
42	86	215
43	90	218
44	93	218
45	97	221
46	100	220
47	105	224
48	108	224
49	113	227
50	116	226
51	120	227
52	122	223
53	123	219
54	124	215
55	126	211
56	127	207
57	132	210
58	137	211
59	139	209
60	153	224
61	159	226
62	162	224
63	166	223
64	167	219
65	169	215
66	170	211
67	171	207
68	173	203
69	176	201
70	178	199
71	180	195
72	181	191
73	185	190
74	189	189
75	193	188
76	197	187
77	204	188
78	208	187
79	209	183
80	210	179
81	215	178
82	219	177
83	222	174
84	223	170
85	224	167
86	226	163
87	227	160
88	229	157
89	233	155
90	242	157
91	243	153
92	247	151
93	248	148
94	249	144
95	249	140
96	250	137
97	251	133
98	252	129
99	253	126
100	253	123
101	255	120
102	255	116
103	256	113
104	257	110
105	257	107
106	258	103
107	259	100
108	260	97
109	260	94
110	261	91
111	262	88
112	263	86
113	265	83
114	265	80
115	267	78
116	268	75
117	268	72
118	269	70
119	270	67
120	271	64
121	272	62
122	273	59
123	274	57
124	275	55
125	276	52
126	277	50
127	278	47
128	279	45
129	279	43
130	281	40
131	282	38
132	283	36
133	284	33
134	284	31
135	285	29
136	286	27
137	287	25
138	289	22
139	290	20
140	291	18
141	292	16
142	293	14
143	294	12
144	295	10
145	296	8
146	297	6
147	298	4
148	299	2
149	300	0
