recency,history,mens,womens,newbie,target,treatment,log_history,spending_intensity,is_unisex_buyer,digital_newbies,digital_veterans,urban_web_user,zip_code_Surburban,zip_code_Urban,channel_Phone,channel_Web
1,342.73,0,1,1,0,1,5.839856465469972,171.365,0,1,0,0,1,0,0,1
2,59.24,0,1,0,1,1,4.098336583491638,19.746666666666666,0,0,0,0,1,0,1,0
4,138.06,0,1,0,1,1,4.934905494670872,27.612000000000002,0,0,1,0,1,0,0,1
2,29.99,1,0,1,0,1,3.433664571799657,9.996666666666666,0,1,0,1,0,1,0,1
3,185.95,1,0,0,0,1,5.2308412014231225,46.4875,0,0,0,0,0,1,1,0
4,189.28,1,0,0,0,1,5.248496671564081,37.856,0,0,1,0,0,0,0,1
7,171.61,0,1,0,1,1,5.151034714398598,21.45125,0,0,1,0,1,0,0,1
3,591.09,1,1,1,1,1,6.383658650356096,147.7725,1,1,0,1,0,1,0,1
6,116.78,1,0,0,0,1,4.768818477516425,16.68285714285714,0,0,1,1,0,1,0,1
2,361.93,1,1,1,0,1,5.894209978203751,120.64333333333333,1,0,0,0,1,0,1,0
11,405.6,1,0,0,0,1,6.007829901194246,33.800000000000004,0,0,1,1,0,1,0,1
1,500.08,1,1,1,0,1,6.216765768975991,250.04,1,0,0,0,0,1,1,0
10,138.56,0,1,1,0,1,4.9384946163185734,12.596363636363636,0,1,0,0,1,0,0,1
6,46.61,0,1,1,0,1,3.8630428232064276,6.658571428571428,0,1,0,0,1,0,0,1
3,29.99,0,1,1,0,1,3.433664571799657,7.4975,0,1,0,1,0,1,0,1
10,83.15,1,0,0,0,1,4.432600920636815,7.5590909090909095,0,0,0,0,0,0,1,0
7,29.99,0,1,0,0,1,3.433664571799657,3.74875,0,0,0,0,0,0,1,0
1,756.86,1,1,1,0,1,6.630498672013939,378.43,1,1,0,0,1,0,0,1
6,614.42,1,1,1,1,1,6.422304961547375,87.77428571428571,1,1,0,1,0,1,0,1
8,61.7,1,0,1,0,1,4.138361447638875,6.855555555555556,0,0,0,0,0,1,1,0
9,45.76,0,1,1,0,1,3.8450281366038674,4.576,0,1,0,0,1,0,0,1
